"Artikelnummer";"Artikelbeschreibung";"Menge";"Einzelpreis";"Rabatt in %";"RechnungsNr"
1;"Altglasentsorgung";1,00;12,00;0;10027
2;"Bremsklötze vorn erneuert";0,00;0,00;0;10028
3;"Auspuff geschweißt";0,00;0,00;0;10028
4;"Bremssattel vorn links gangbar gemacht";0,00;0,00;0;10028
5;"Bremsklötze";1,00;88,00;0;10028
6;"Außenspiegel";1,00;20,00;0;10028
7;"Kerzen";4,00;8,50;0;10029
8;"Motoröl";3,50;10,50;0;10029
9;"Ölfilter";1,00;8,90;0;10029
10;"Frostschutz";1,00;6,50;0;10029
11;"Reiniger Waschanl.";1,00;2,80;0;10029
12;"Wischblätter";3,00;12,00;0;10029
13;"Antenne";1,00;22,50;0;10029
14;"AU";1,00;44,00;0;10029
15;"Blinkerschalterblock";1,00;173,00;0;10032
16;"Blinkerschalter geprüft und erneuert";0,00;0,00;0;10032
17;"Wasserpumpe";1,00;212,00;0;10033
18;"Frostschutz";4,00;5,50;0;10033
19;"Motoröl";7,50;10,50;0;10033
20;"Ölfilter";1,00;13,00;0;10033
21;"Zündkerzen";4,00;9,70;0;10033
22;"Scheibenreiniger";1,00;4,50;0;10033
23;"Luftfilter";1,00;37,00;0;10033
24;"Pollenfilter";1,00;47,25;0;10033
25;"Bremsklötze hinten";1,00;89,00;0;10033
26;"Birne 12V 1,2W ohne Fassung";4,00;1,45;0;10033
27;"Wasserpumpe geprüft und erneuert";0,00;0,00;0;10033
28;"Motoröl und Filter gewechselt";0,00;0,00;0;10033
29;"Bremsklötze hinten erneuert";0,00;0,00;0;10033
30;"Jahresinspektion ausgeführt";0,00;0,00;0;10033
31;"Innenbeleuchtung  instandgesetzt";0,00;0,00;0;10033
32;"Motoröl

Motoröl";3,50;10,50;0;
33;"Ölfilter";1,00;14,80;0;
34;"Motoröl und Filter gewechselt";0,00;0,00;0;
35;"Ölfilter
Ölfilter
Ölfilter";1,00;6,50;0;10036
36;"Motoröl";3,50;11,50;0;10036
37;"Zündkerzen";4,00;5,90;0;10036
38;"Luftfilter";1,00;24,60;0;10036
39;"Bremsflüssigkeit";1,00;25,00;0;10036
40;"Motoröl und Filter gewechselt";0,00;0,00;0;10036
41;"Bremsflüssigkeit gewechselt";0,00;0,00;0;10036
42;"Jahresinspektion ausgeführt";0,00;0,00;0;10036
43;"Mittelschalldämpfer";1,00;174,20;0;10037
44;"Auspuffdichtung
Auspuffdichtungen";2,00;6,80;0;10037
45;"Mittelschalldämpfer geprüft und erneuert";0,00;0,00;0;10037
46;"Seitentürblech";1,00;62,00;0;10038
47;"Frontblech rechts";1,00;44,00;0;10038
48;"Türeinstiegblech";1,00;42,40;0;10038
